title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;Investigate further?
Wearable Assistive Devices for the Blind;Ramiro Velázquez;2010;https://link.springer.com/chapter/10.1007/978-3-642-15687-8_17;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;4;57;https://doi.org/10.1007/978-3-642-15687-8_17;
"Location-Aware Information Delivery withComMotion
";Natalia Marmasse,    Chris Schmandt;2000;https://link.springer.com/chapter/10.1007/3-540-39959-3_12;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;4;54;https://doi.org/10.1007/3-540-39959-3_12;
Quorum-Based Asynchronous Power-Saving Protocols for IEEE 802.11 Ad Hoc Networks;Jehn-Ruey Jiang,    Yu-Chee Tseng,    Chih-Shun Hsu…;2005;https://link.springer.com/article/10.1023/B%3AMONE.0000048553.45798.5e;https://link.springer.com/content/pdf/10.1023%2FB%3AMONE.0000048553.45798.5e.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;4;115;https://doi.org/10.1023/B:MONE.0000048553.45798.5e;
RFID localization algorithms and applications—a review;Junyi Zhou,    Jing Shi;2008;https://link.springer.com/article/10.1007/s10845-008-0158-5;https://link.springer.com/content/pdf/10.1007%2Fs10845-008-0158-5.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;7;119;https://doi.org/10.1007/s10845-008-0158-5;
Run-Time Reconfigurable Systems for Digital Signal Processing Applications: A Survey;Alireza Shoa,    Shahram Shirani;2005;https://link.springer.com/article/10.1007/s11265-005-4841-x;https://link.springer.com/content/pdf/10.1007%2Fs11265-005-4841-x.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;11;145;https://doi.org/10.1007/s11265-005-4841-x;
LeZi-Update: An Information-Theoretic Framework for Personal Mobility Tracking in PCS Networks;Amiya Bhattacharya,    Sajal K. Das;2002;https://link.springer.com/article/10.1023/A%3A1013759724438;https://link.springer.com/content/pdf/10.1023%2FA%3A1013759724438.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;6;108;https://doi.org/10.1023/A:1013759724438;
Habits make smartphone use more pervasive;Antti Oulasvirta,    Tye Rattenbury,    Lingyi Ma…;2012;https://link.springer.com/article/10.1007/s00779-011-0412-2;https://link.springer.com/content/pdf/10.1007%2Fs00779-011-0412-2.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;2;263;https://doi.org/10.1007/s00779-011-0412-2;
Security issues in cloud environments: a survey;Diogo A. B. Fernandes,    Liliana F. B. Soares…;2014;https://link.springer.com/article/10.1007/s10207-013-0208-7;https://link.springer.com/content/pdf/10.1007%2Fs10207-013-0208-7.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;10;137;https://doi.org/10.1007/s10207-013-0208-7;
Cuckoo: A Computation Offloading Framework for Smartphones;Roelof Kemp,    Nicholas Palmer,    Thilo Kielmann…;2012;https://link.springer.com/chapter/10.1007/978-3-642-29336-8_4;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;7;106;https://doi.org/10.1007/978-3-642-29336-8_4;
Self-Tuning Wireless Network Power Management;Manish Anand,    Edmund B. Nightingale,    Jason Flinn;2005;https://link.springer.com/article/10.1007/s11276-005-1768-x;https://link.springer.com/content/pdf/10.1007%2Fs11276-005-1768-x.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;13;308;https://doi.org/10.1007/s11276-005-1768-x;
U-commerce: Expanding the universe of marketing;Richard T. Watson,    Leyland F. Pitt…;2002;https://link.springer.com/article/10.1177/009207002236909;https://link.springer.com/content/pdf/10.1177%2F009207002236909.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;10;162;https://doi.org/10.1177/009207002236909;
A Manifesto for Agent Technology: Towards Next Generation Computing;Michael Luck,    Peter McBurney,    Chris Preist;2004;https://link.springer.com/article/10.1023/B%3AAGNT.0000038027.29035.7c;https://link.springer.com/content/pdf/10.1023%2FB%3AAGNT.0000038027.29035.7c.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;10;52;https://doi.org/10.1023/B:AGNT.0000038027.29035.7c;
Estimating densities of small fishes and decapod crustaceans in shallow estuarine habitats: A review of sampling design with focus on gear selection;Lawrence P. Rozas,    Thomas J. Minello;1997;https://link.springer.com/article/10.2307/1352731;https://link.springer.com/content/pdf/10.2307%2F1352731.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;1;176;https://doi.org/10.2307/1352731;
Smart technologies for personalized experiences: a case study in the hospitality domain;Barbara Neuhofer,    Dimitrios Buhalis,    Adele Ladkin;2015;https://link.springer.com/article/10.1007/s12525-015-0182-1;https://link.springer.com/content/pdf/10.1007%2Fs12525-015-0182-1.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;6;60;https://doi.org/10.1007/s12525-015-0182-1;
Body Area Networks: A Survey;Min Chen,    Sergio Gonzalez,    Athanasios Vasilakos…;2011;https://link.springer.com/article/10.1007/s11036-010-0260-8;https://link.springer.com/content/pdf/10.1007%2Fs11036-010-0260-8.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;7;624;https://doi.org/10.1007/s11036-010-0260-8;
Mobility Work: The Spatial Dimension of Collaboration at a Hospital;Jakob E Bardram,    Claus Bossen;2005;https://link.springer.com/article/10.1007/s10606-005-0989-y;https://link.springer.com/content/pdf/10.1007%2Fs10606-005-0989-y.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;4;104;https://doi.org/10.1007/s10606-005-0989-y;
A collection of outdoor robotic datasets with centimeter-accuracy ground truth;Jose-Luis Blanco,    Francisco-Angel Moreno,    Javier Gonzalez;2009;https://link.springer.com/article/10.1007/s10514-009-9138-7;https://link.springer.com/content/pdf/10.1007%2Fs10514-009-9138-7.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;10;68;https://doi.org/10.1007/s10514-009-9138-7;
User experience, satisfaction, and continual usage intention of IT;Liqiong Deng,    Douglas E Turner,    Robert Gehling…;2010;https://link.springer.com/article/10.1057/ejis.2009.50;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;3;88;https://doi.org/10.1057/ejis.2009.50;
Place Lab: Device Positioning Using Radio Beacons in the Wild;Anthony LaMarca,    Yatin Chawathe,    Sunny Consolvo,    Jeffrey Hightower…;2005;https://link.springer.com/chapter/10.1007/11428572_8;https://link.springer.com/content/pdf/10.1007%2F11428572_8.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;2;119;https://doi.org/10.1007/11428572_8;
Multi-Modal Locomotion Robotic Platform Using Leg-Track-Wheel Articulations;François Michaud,    Dominic Létourneau,    Martin Arsenault,    Yann Bergeron…;2005;https://link.springer.com/article/10.1007/s10514-005-0722-1;https://link.springer.com/content/pdf/10.1007%2Fs10514-005-0722-1.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;6;61;https://doi.org/10.1007/s10514-005-0722-1;
Understanding Human-Smartphone Concerns: A Study of Battery Life;Denzil Ferreira,    Anind K. Dey,    Vassilis Kostakos;2011;https://link.springer.com/chapter/10.1007/978-3-642-21726-5_2;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;6;57;https://doi.org/10.1007/978-3-642-21726-5_2;
Robot-assisted wayfinding for the visually impaired in structured indoor environments;Vladimir Kulyukin,    Chaitanya Gharpure,    John Nicholson,    Grayson Osborne;2006;https://link.springer.com/article/10.1007/s10514-006-7223-8;https://link.springer.com/content/pdf/10.1007%2Fs10514-006-7223-8.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;5;64;https://doi.org/10.1007/s10514-006-7223-8;
Interference Evaluation of Bluetooth and IEEE 802.11b Systems;N. Golmie,    R.E. Van Dyck,    A. Soltanian,    A. Tonnerre,    O. Rébala;2003;https://link.springer.com/article/10.1023/A%3A1022821110023;https://link.springer.com/content/pdf/10.1023%2FA%3A1022821110023.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;5;55;https://doi.org/10.1023/A:1022821110023;
A review of communication-oriented optical wireless systems;Deva K Borah,    Anthony C Boucouvalas…;2012;https://link.springer.com/article/10.1186/1687-1499-2012-91;https://link.springer.com/content/pdf/10.1186%2F1687-1499-2012-91.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;4;89;https://doi.org/10.1186/1687-1499-2012-91;
Sensing Technologies for Intelligent Environments: A Review;Hemant Ghayvat,    Subhas C. Mukhopadhyay,    X. Gui;2015;https://link.springer.com/chapter/10.1007/978-3-319-12892-4_1;https://link.springer.com/content/pdf/10.1007%2F978-3-319-12892-4_1.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;9;238;https://doi.org/10.1007/978-3-319-12892-4_1;
Swarm-Bot: A New Distributed Robotic Concept;Francesco Mondada,    Giovanni C. Pettinaro,    Andre Guignard,    Ivo W. Kwee…;2004;https://link.springer.com/article/10.1023/B%3AAURO.0000033972.50769.1c;https://link.springer.com/content/pdf/10.1023%2FB%3AAURO.0000033972.50769.1c.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;6;140;https://doi.org/10.1023/B:AURO.0000033972.50769.1c;
Navigation in surgery;Uli Mezger,    Claudia Jendrewski,    Michael Bartels;2013;https://link.springer.com/article/10.1007/s00423-013-1059-4;https://link.springer.com/content/pdf/10.1007%2Fs00423-013-1059-4.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;1;67;https://doi.org/10.1007/s00423-013-1059-4;
Performance modeling of asynchronous data transfer methods of IEEE 802.11 MAC protocol;Harshal S. Chhaya,    Sanjay Gupta;1997;https://link.springer.com/article/10.1023/A%3A1019109301754;https://link.springer.com/content/pdf/10.1023%2FA%3A1019109301754.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;4;213;https://doi.org/10.1023/A:1019109301754;
At Home with Ubiquitous Computing: Seven Challenges;W. Keith Edwards,    Rebecca E. Grinter;2001;https://link.springer.com/chapter/10.1007/3-540-45427-6_22;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;5;86;https://doi.org/10.1007/3-540-45427-6_22;
Augmented Reality in Education and Training;Kangdon Lee;2012;https://link.springer.com/article/10.1007/s11528-012-0559-3;https://link.springer.com/content/pdf/10.1007%2Fs11528-012-0559-3.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;7;112;https://doi.org/10.1007/s11528-012-0559-3;
From the Internet of Computers to the Internet of Things;Friedemann Mattern,    Christian Floerkemeier;2010;https://link.springer.com/chapter/10.1007/978-3-642-17226-7_15;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;6;119;https://doi.org/10.1007/978-3-642-17226-7_15;
A survey of climbing robots: Locomotion and adhesion;Baeksuk Chu,    Kyungmo Jung,    Chang-Soo Han…;2010;https://link.springer.com/article/10.1007/s12541-010-0075-3;https://link.springer.com/content/pdf/10.1007%2Fs12541-010-0075-3.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;3;85;https://doi.org/10.1007/s12541-010-0075-3;
Exposure in Wireless Sensor Networks: Theory and Practical Solutions;Seapahn Megerian,    Farinaz Koushanfar,    Gang Qu,    Giacomino Veltri…;2002;https://link.springer.com/article/10.1023/A%3A1016586011473;https://link.springer.com/content/pdf/10.1023%2FA%3A1016586011473.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;5;83;https://doi.org/10.1023/A:1016586011473;
Using a Live-In Laboratory for Ubiquitous Computing Research;Stephen S. Intille,    Kent Larson,    Emmanuel Munguia Tapia…;2006;https://link.springer.com/chapter/10.1007/11748625_22;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;4;66;https://doi.org/10.1007/11748625_22;
Strong and Robust RFID Authentication Enabling Perfect Ownership Transfer;Chae Hoon Lim,    Taekyoung Kwon;2006;https://link.springer.com/chapter/10.1007/11935308_1;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;8;51;https://doi.org/10.1007/11935308_1;
Key-Insulated Public Key Cryptosystems;Yevgeniy Dodis,    Jonathan Katz,    Shouhuai Xu…;2002;https://link.springer.com/chapter/10.1007/3-540-46035-7_5;https://link.springer.com/content/pdf/10.1007%2F3-540-46035-7_5.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;3;59;https://doi.org/10.1007/3-540-46035-7_5;
Cloud observations with a polarimetric 33 GHz and 95 GHz radar;S. M. Sekelsky,    R. E. McIntosh;1996;https://link.springer.com/article/10.1007/BF01032004;https://link.springer.com/content/pdf/10.1007%2FBF01032004.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;2;52;https://doi.org/10.1007/BF01032004;
Reducing and preventing organised crime: An evidence-based critique;Michael Levi,    Mike Maguire;2004;https://link.springer.com/article/10.1023/B%3ACRIS.0000039600.88691.af;https://link.springer.com/content/pdf/10.1023%2FB%3ACRIS.0000039600.88691.af.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;7;64;https://doi.org/10.1023/B:CRIS.0000039600.88691.af;
Geoelectromagnetic Exploration For Natural Resources: Models, Case Studies And Challenges;Maxwell A. Meju;2002;https://link.springer.com/article/10.1023/A%3A1015052419222;https://link.springer.com/content/pdf/10.1023%2FA%3A1015052419222.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;3;64;https://doi.org/10.1023/A:1015052419222;
A survey on position-based routing for vehicular ad hoc networks;Jianqi Liu,    Jiafu Wan,    Qinruo Wang,    Pan Deng,    Keliang Zhou…;2016;https://link.springer.com/article/10.1007/s11235-015-9979-7;https://link.springer.com/content/pdf/10.1007%2Fs11235-015-9979-7.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;10;64;https://doi.org/10.1007/s11235-015-9979-7;y
Routing for disruption tolerant networks: taxonomy and design;Thrasyvoulos Spyropoulos,    Rao Naveed Bin Rais,    Thierry Turletti…;2010;https://link.springer.com/article/10.1007/s11276-010-0276-9;https://link.springer.com/content/pdf/10.1007%2Fs11276-010-0276-9.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;6;163;https://doi.org/10.1007/s11276-010-0276-9;y
