title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;Investigate further?;abstract viewed
Distributed Transactions on Mobile Systems: Performance Evaluation Using SWN;Oumar Abdoul Sanghare, Mbaye Sene, Joel J. P. C. Rodrigues;2011;https://ieeexplore.ieee.org/document/5963020/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5963020;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;1;1;10.1109/icc.2011.5963020;y;
A comparative study of mobile database transaction models;Ramzi A. Haraty;2015;https://ieeexplore.ieee.org/document/7405506/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7405506;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;4;0;10.1109/ISCC.2015.7405506;y;
A model for transaction management in mobile databases;Ziyad T. Abdul-Mehdi, Ali Bin Mamat, Hamidah Ibrahim, Mustafa Mat Deris;2010;https://ieeexplore.ieee.org/document/5458474/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5458474;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;5;35;10.1109/MPOT.2010.936929;y;
Adaptive location updates for mobile sinks in wireless sensor networks;Guojun Wang,    Tian Wang,    Weijia Jia,    Minyi Guo,    Jie Li;2009;https://link.springer.com/article/10.1007/s11227-008-0181-5;https://link.springer.com/content/pdf/10.1007%2Fs11227-008-0181-5.pdf;Mobile+transactions+AND+(BASE+OR+ACID)_SpringerLink.csv;SpringerLink;6;247;https://doi.org/10.1007/s11227-008-0181-5;y;
An unequal cluster-based routing protocol in wireless sensor networks;Guihai Chen,    Chengfa Li,    Mao Ye,    Jie Wu;2009;https://link.springer.com/article/10.1007/s11276-007-0035-8;https://link.springer.com/content/pdf/10.1007%2Fs11276-007-0035-8.pdf;Mobile+transactions+AND+(BASE+OR+ACID)_SpringerLink.csv;SpringerLink;4;220;https://doi.org/10.1007/s11276-007-0035-8;y;
What drives the adoption of mobile data services? An approach from a value perspective;Byoungsoo Kim,    Ingoo Han;2009;https://link.springer.com/article/10.1057/jit.2008.28;No PDF available;Mobile+transactions+AND+(BASE+OR+ACID)_SpringerLink.csv;SpringerLink;2;57;https://doi.org/10.1057/jit.2008.28;y;
TPGF: geographic routing in wireless multimedia sensor networks;Lei Shu,    Yan Zhang,    Laurence T. Yang,    Yu Wang…;2010;https://link.springer.com/article/10.1007/s11235-009-9227-0;https://link.springer.com/content/pdf/10.1007%2Fs11235-009-9227-0.pdf;Mobile+transactions+AND+(BASE+OR+ACID)_SpringerLink.csv;SpringerLink;11;82;https://doi.org/10.1007/s11235-009-9227-0;y;
Node deployment strategy optimization for wireless sensor network with mobile base station;Jun Long 龙军,    Wei-hua Gui 桂卫华;2012;https://link.springer.com/article/10.1007/s11771-012-1024-3;https://link.springer.com/content/pdf/10.1007%2Fs11771-012-1024-3.pdf;Mobile+transactions+AND+(BASE+OR+ACID)_SpringerLink.csv;SpringerLink;4;332;https://doi.org/10.1007/s11771-012-1024-3;y;
Localization algorithms of Wireless Sensor Networks: a survey;Guangjie Han,    Huihui Xu,    Trung Q. Duong,    Jinfang Jiang…;2013;https://link.springer.com/article/10.1007/s11235-011-9564-7;https://link.springer.com/content/pdf/10.1007%2Fs11235-011-9564-7.pdf;Mobile+transactions+AND+(BASE+OR+ACID)_SpringerLink.csv;SpringerLink;3;173;https://doi.org/10.1007/s11235-011-9564-7;y;
A Survey of Mobile Cloud Computing Applications: Perspectives and Challenges;Yating Wang,    Ing-Ray Chen,    Ding-Chau Wang;2015;https://link.springer.com/article/10.1007/s11277-014-2102-7;https://link.springer.com/content/pdf/10.1007%2Fs11277-014-2102-7.pdf;Mobile+transactions+AND+(BASE+OR+ACID)_SpringerLink.csv;SpringerLink;8;108;https://doi.org/10.1007/s11277-014-2102-7;y;
Framework for context-aware computation offloading in mobile cloud computing;Xing Chen,    Shihong Chen,    Xuee Zeng,    Xianghan Zheng…;2017;https://link.springer.com/article/10.1186/s13677-016-0071-y;https://link.springer.com/content/pdf/10.1186%2Fs13677-016-0071-y.pdf;Mobile+transactions+AND+(BASE+OR+ACID)_SpringerLink.csv;SpringerLink;6;66;https://doi.org/10.1186/s13677-016-0071-y;y;
