title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;Investigate further?;abstract viewed;
Incorporating transaction semantics to reduce reprocessing overhead in replicated mobile data applications;Peng Liu, P. Ammann, S. Jajodia;5-5 June 1999;https://ieeexplore.ieee.org/document/776543/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=776543;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;1;4;10.1109/ICDCS.1999.776543;y;;y
Isolating Transactions on Replicated Content Going Mobile;Jose Enrique Armendariz-Inigo, Hendrik Decker, Francesc D. Munoz-Escoi;1-1 May 2007;https://ieeexplore.ieee.org/document/4417187/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4417187;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;2;0;10.1109/MDM.2007.80;y;;
Modeling the static and dynamic guard channel schemes for mobile transactions;Guan-Chi Chen, Su-Yin Lee;14-16 Dec. 1998;https://ieeexplore.ieee.org/document/741053/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=741053;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;2;17;10.1109/ICPADS.1998.741053;y;;
Networked Data Transaction in Mobile Networks: A Prediction-based Approach Using Auction;Jun Du, Chunxiao Jiang, Erol Gelenbe, Zhu Han, Yong Ren, Mohsen Guizani;25-29 June 2018;https://ieeexplore.ieee.org/document/8450531/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8450531;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;1;0;10.1109/IWCMC.2018.8450531;y;;
Performance Evaluation of Atomic Commit Protocols for Mobile Transactions;N. Nouali, L. Boukantar, H. Drias;17-20 Sept. 2006;https://ieeexplore.ieee.org/document/4375220/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4375220;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;22;11;10.1109/MCWC.2006.4375220;y;;
Real-time atomic commitment for mobile distributed real-time transactions;YingYuan Xiao, YunSheng Liu, XiaoFeng Liu, GuoQiong Liao;26-26 Sept. 2005;https://ieeexplore.ieee.org/document/1544293/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1544293;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;1;0;10.1109/WCNM.2005.1544293;y;;y
Revising transaction concepts for mobile computing;E. Pitoura, B. Bhargava;8-9 Dec. 1994;https://ieeexplore.ieee.org/document/513477/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=513477;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;24;104;10.1109/MCSA.1994.513477;y;;y
Security Management Model for Mobile Databases Transaction Management;Ziyad. T. Abdul-Mehdi, Ramlan Mahmod;7-11 April 2008;https://ieeexplore.ieee.org/document/4530294/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4530294;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;2;0;10.1109/ICTTA.2008.4530294;y;;
Transaction adaption in system on mobile devices (SyD): techniques and languages;W. Xie, S.B. Navathe;6-9 Oct. 2003;https://ieeexplore.ieee.org/document/1286087/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1286087;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;3;0;10.1109/VETECF.2003.1286087;y;;y
Transaction policies for mobile networks;N. Santos, L. Veiga, P. Ferreira;9-9 June 2004;https://ieeexplore.ieee.org/document/1309150/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1309150;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;5;21;10.1109/POLICY.2004.1309150;y;;
A Web-based design for the mobile transaction management of a distributed database system;Jianting Zhong, Wanlei Zhou;22-25 Sept. 1998;https://ieeexplore.ieee.org/document/713621/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=713621;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;2;0;10.1109/TOOLS.1998.713621;y;;
A probability-based approach of transaction consistency in mobile environments;Huaizhong Lin, Chun Chen, Bo Zhou;16-19 Oct. 2001;https://ieeexplore.ieee.org/document/962639/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=962639;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;6;11;10.1109/ICCNMC.2001.962639;y;;y
Concurrency control of real-time transactions with disconnections in mobile computing environment;GuoQiong Liao, YunSheng Liu, LiNa Wang, ChuJi Peng;20-23 Oct. 2003;https://ieeexplore.ieee.org/document/1243047/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1243047;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;4;17;10.1109/ICCNMC.2003.1243047;y;;y
Context-Aware Mobile Services Transactions;Muhammad Younas, Soraya Kouadri Mostéfaoui;20-23 April 2010;https://ieeexplore.ieee.org/document/5474804/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5474804;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;5;11;10.1109/AINA.2010.157;y;;
Efficient optimistic concurrency control for mobile real-time transactions in a wireless data broadcast environment;Li Guohui, Yang Bing, Chen Jixiong;17-19 Aug. 2005;https://ieeexplore.ieee.org/document/1541121/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1541121;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;4;18;10.1109/RTCSA.2005.42;y;;y
Improving data consistency in mobile computing using isolation-only transactions;Qi Lu, M. Satyanarayanan;4-5 May 1995;https://ieeexplore.ieee.org/document/513467/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=513467;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;12;91;10.1109/HOTOS.1995.513467;y;;
Improving the Success Rate of Concurrent Mobile Transactions by Predicting Time for Execution;Salman Abdul Moiz, Umesh Kumar Choudhary;20-23 Dec. 2014;https://ieeexplore.ieee.org/document/7024677/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7024677;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;3;0;10.1109/UNESST.2014.13;y;;
Increasing mobile transaction concurrency in dynamically configurable environments;A. Brayner, J.A. Filho;6-10 June 2005;https://ieeexplore.ieee.org/document/1437237/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1437237;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;4;9;10.1109/ICDCSW.2005.76;y;;
Loosely-coupled, mobile replication of objects with transactions;L. Veiga, N. Santos, R. Lebre, P. Ferreira;9-9 July 2004;https://ieeexplore.ieee.org/document/1316154/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1316154;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;3;9;10.1109/ICPADS.2004.1316154;y;;
Mobile transaction system for supporting mobile work;H.N. Le, M. Nygaard;22-26 Aug. 2005;https://ieeexplore.ieee.org/document/1508420/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1508420;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;5;15;10.1109/DEXA.2005.136;y;;y
Resource conservation in a mobile transaction system;Qi Lu, M. Satyanarayanan;Mar 97;https://ieeexplore.ieee.org/document/580426/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=580426;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;6;16;10.1109/12.580426;y;;
Seamless mobile transaction processing: models, protocols and software tools;V.K. Murthy;29-29 June 2001;https://ieeexplore.ieee.org/document/934813/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=934813;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;6;10;10.1109/ICPADS.2001.934813;y;;y
Transaction processing in mobile, heterogeneous database systems;J.B. Lim, A.R. Hurson;Nov.-Dec. 2002;https://ieeexplore.ieee.org/document/1047771/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1047771;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;13;83;10.1109/TKDE.2002.1047771;y;;y
A cloud based dual-root trust model for secure mobile online transactions;Li Li, Dijiang Huang, Zhidong Shen, Samia Bouzefrane;7-10 April 2013;https://ieeexplore.ieee.org/document/6555287/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6555287;Mobile+transaction+models_IEEEXplore.csv;IEEEXplore;4;1;10.1109/WCNC.2013.6555287;y;;
A new formal model based on P-system for mobile transactions;Zhengwei Qi, Ruonan Rao, Guangtao Xue, Jinyuan You;15-18 Sept. 2004;https://ieeexplore.ieee.org/document/1357985/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1357985;Mobile+transaction+models_IEEEXplore.csv;IEEEXplore;1;0;10.1109/SCC.2004.1357985;y;;
A transaction model for supporting mobile collaborative works;Hien Nam Le, Mads Nygard;25-25 May 2007;https://ieeexplore.ieee.org/document/4621774/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4621774;Mobile+transaction+models_IEEEXplore.csv;IEEEXplore;1;3;10.1109/CTS.2007.4621774;y;;
Connection Fault-Tolerant Model for distributed transaction processing in mobile computing environment;Tome Dimovski, Pece Mitrevski;27-30 June 2011;https://ieeexplore.ieee.org/document/5974011/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5974011;Mobile+transaction+models_IEEEXplore.csv;IEEEXplore;4;15;No DOI available;y;;y
Data Transaction Modeling in Mobile Networks: Contract Mechanism and Performance Analysis;Jun Du, Erol Gelenbe, Chunxiao Jiang, Haijun Zhang, Zhu Han, Yong Ren;4-8 Dec. 2017;https://ieeexplore.ieee.org/document/8255078/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8255078;Mobile+transaction+models_IEEEXplore.csv;IEEEXplore;1;1;10.1109/GLOCOM.2017.8255078;y;;
Simulation framework for travel trajectory generation and mobile transaction modeling;Eric Hsueh-Chan Lu, Josh Jia-Ching Ying, Huan-Sheng Chen, Kawuu W. Lin, Vincent S. Tseng, Huan-Wen Tsai, Kuang Hung Cheng, Shun-Chieh Lin;14-16 Aug. 2012;https://ieeexplore.ieee.org/document/6449721/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6449721;Mobile+transaction+models_IEEEXplore.csv;IEEEXplore;1;0;10.1109/ISIC.2012.6449721;y;;
The P-system based model for mobile transactions;Zhengwei Qi, Cheng Fu, Dongyu Shi, Jinyuan You;16-16 Sept. 2004;https://ieeexplore.ieee.org/document/1357250/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1357250;Mobile+transaction+models_IEEEXplore.csv;IEEEXplore;1;0;10.1109/CIT.2004.1357250;y;;
Transaction-centric Mobile-Payment Classification Model;Abdulkareem Aljohani, Khalid Al-Begain;25-27 Sept. 2013;https://ieeexplore.ieee.org/document/6658102/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6658102;Mobile+transaction+models_IEEEXplore.csv;IEEEXplore;1;3;10.1109/NGMAST.2013.21;y;;
A Generic Architecture Supporting Context-Aware Data and Transaction Management for Mobile Applications;Steffen Vaupel, Damian Wlochowitz, Gabriele Taentzer;16-17 May 2016;https://ieeexplore.ieee.org/document/7832973/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7832973;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;2;0;10.1109/MobileSoft.2016.035;y;;
A mobile transaction processing system to improve concurrency in mobile database;M. Mohana, C. Jayakumar;26-28 Dec. 2013;https://ieeexplore.ieee.org/document/6724253/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6724253;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;1;0;10.1109/ICCIC.2013.6724253;y;;y
Agent-Based Infrastructure for Data and Transaction Management in Mobile Heterogeneous Environment;Machigar Ongtang, Ali R. Hurson, Yu Jiao;6-8 Jan. 2009;https://ieeexplore.ieee.org/document/4797269/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4797269;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;1;1;10.1109/CMC.2009.321;y;;
Broadcast of consistent data to read-only transactions from mobile clients;Kam-Yiu Lam, Mei-Wai Au, Edward Chan;25-26 Feb. 1999;https://ieeexplore.ieee.org/document/749280/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=749280;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;2;56;10.1109/MCSA.1999.749280;y;;y
Defensive protocol to ensure safe Mobile Financial Transaction in current context;Md. Hasib Firoz, Zulfiquar Ahmed;18-20 Jan. 2017;https://ieeexplore.ieee.org/document/7886157/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7886157;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;2;0;10.1109/ACDT.2017.7886157;y;;
Enforcing interdependencies and executing transactions atomically over autonomous mobile data stores using SyD link technology;S.K. Prasad, A.G. Bourgeois, E. Dogdu, R. Sunderraman, Yi Pan, S. Navathe, V. Madisetti;19-22 May 2003;https://ieeexplore.ieee.org/document/1203650/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1203650;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;1;21;10.1109/ICDCSW.2003.1203650;y;;y
Location Dependent Transaction for Mobile Environment;A. Alqerem, W. Hussak;24-28 April 2006;https://ieeexplore.ieee.org/document/1684879/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1684879;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;4;14;10.1109/ICTTA.2006.1684879;y;;y
Mobility Management Scheme for Context-Aware Transactions in Pervasive and Mobile Cyberspace;Muhammad Younas, Irfan Awan;Mar 13;https://ieeexplore.ieee.org/document/6195011/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6195011;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;4;16;10.1109/TIE.2012.2198032;y;;
Multi-step transactions specification and verification in a mobile database community;Rafat Alshorman, Walter Hussak;7-11 April 2008;https://ieeexplore.ieee.org/document/4530295/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4530295;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;1;0;10.1109/ICTTA.2008.4530295;y;;y
On transaction processing with partial validation and timestamp ordering in mobile broadcast environments;V.C.S. Lee, Kwok-Wa Lam, S.H. Son, E.Y.M. Chan;Oct 02;https://ieeexplore.ieee.org/document/1039845/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1039845;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;7;90;10.1109/TC.2002.1039845;y;;y
Real-time transaction management in mobile computing systems;E. Kayan, O. Ulusoy;21-21 April 1999;https://ieeexplore.ieee.org/document/765744/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=765744;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;5;40;10.1109/DASFAA.1999.765744;y;;y
Real-time transaction processing with partial validation at mobile clients;V.C.S. Lee, Kwok-Wa Lam, S.H. Son;12-14 Dec. 2000;https://ieeexplore.ieee.org/document/896429/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=896429;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;3;18;10.1109/RTCSA.2000.896429;y;;y
SODA: An Algorithm to Guarantee Correctness of Concurrent Transaction Execution in Mobile P2P Databases;Zhaowen Xing, Le Gruenwald, K. K. Phang;1-5 Sept. 2008;https://ieeexplore.ieee.org/document/4624738/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4624738;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;2;13;10.1109/DEXA.2008.96;y;;y
Scheduling Real-Time Nested Transactions in Mobile Broadcast Environments;Xiangdong Lei, Wuke Li, Xiaoli Yuan;18-21 Nov. 2008;https://ieeexplore.ieee.org/document/4709120/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4709120;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;5;2;10.1109/ICYCS.2008.308;y;;
Transaction Service Discovery in Mobile Environments;A.K. Eidsvik, R. Karlsen, P. Grace, G. Blair;18-20 April 2006;https://ieeexplore.ieee.org/document/1620381/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1620381;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;1;0;10.1109/AINA.2006.335;y;;
A fast concurrency control algorithm in embedded real-time database system;Xiaoyu Qi;16-18 April 2010;https://ieeexplore.ieee.org/document/5486030/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5486030;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;10;92;10.1109/ICCET.2010.5486030;y;;
Component-based embedded database for mobile embedded systems;S.I. Ahamed, S. Vallecha;5-7 April 2004;https://ieeexplore.ieee.org/document/1286512/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1286512;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;6;11;10.1109/ITCC.2004.1286512;y;;
Design and application of mobile payment system with Embedded Systems and Service Oriented Architecture;Erbug Celebi, Hasan Amca;9-11 April 2009;https://ieeexplore.ieee.org/document/5136422/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5136422;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;0;10.1109/SIU.2009.5136422;y;;
Handling disconnection in mobile database transaction;Romani Farid Ibrahim;12-14 Oct. 2011;https://ieeexplore.ieee.org/document/6111015/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6111015;Mobile+transactions+AND+compensation_IEEEXplore.csv;IEEEXplore;2;1;10.1109/ICAICT.2011.6111015;y;;y
Optimized compensation transaction for mobile telecommunication systems;Y. Yoon;14-16 Nov. 1995;https://ieeexplore.ieee.org/document/500290/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=500290;Mobile+transactions+AND+compensation_IEEEXplore.csv;IEEEXplore;1;0;10.1109/GLOCOM.1995.500290;y;;y
A lazy commit protocol for mobile transactions;Sharvanath Pathak, Gautam Barua;21-22 Feb. 2014;https://ieeexplore.ieee.org/document/6779363/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6779363;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;1;1;10.1109/IAdCC.2014.6779363;y;;y
Advanced transaction scheduling protocol for multilevel secure database in wireless mobile network environment;Hee-Wan Kim, Dong-Soon Park, Hae-Kyung Rhee, Ung-Mo Kim;22-25 April 2001;https://ieeexplore.ieee.org/document/932094/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=932094;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;1;1;10.1109/ICATM.2001.932094;y;;
Comparing transaction commit protocols for mobile environments;C. Bobineau, C. Labbe, C. Roncancio, P. Serrano-Alvarado;3-3 Sept. 2004;https://ieeexplore.ieee.org/document/1333552/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1333552;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;1;2;10.1109/DEXA.2004.1333552;y;;y
Design and analysis of a secure agent-based mobile bill payment protocol for bulk transactions;Pemika Limpittaya, Maykin Warasart, Supakorn Kungpisdan;30 May-1 June 2012;https://ieeexplore.ieee.org/document/6261928/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6261928;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;1;1;10.1109/JCSSE.2012.6261928;y;;
Petri nets analysis of transaction and submitter management protocols in mobile distributed computing environment;A. Zaslavsky, L.H. Yeo, S.J. Lai, B. Mitelman;20-23 Sept. 1995;https://ieeexplore.ieee.org/document/540132/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=540132;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;1;1;10.1109/ICCCN.1995.540132;y;;
TCOT-a timeout-based mobile transaction commitment protocol;V. Kumar, N. Prabhu, M.H. Dunham, A.Y. Seydim;Oct 02;https://ieeexplore.ieee.org/document/1039846/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1039846;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;16;128;10.1109/TC.2002.1039846;y;;
